ticker,name,sector_osebx,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr,zip,sector_yahoo,fullTimeEmployees,longBusinessSummary,city,country,companyOfficers,website,maxAge,address1,industry,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,totalAssets,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,yield,algorithm,dividendRate,exDividendDate,beta,circulatingSupply,startDate,regularMarketDayLow,priceHint,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,priceToSalesTrailing12Months,dayLow,ask,ytdReturn,askSize,volume,fiftyTwoWeekHigh,forwardPE,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,profitMargins,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,enterpriseValue,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,dateShortInterest,pegRatio,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,logo_url,phone,address2,trailingPE,fax,underlyingSymbol,underlyingExchangeSymbol,headSymbol,uuid
2020,2020 Bulkers,Industrials,61.2,60.6,61.2,103,,1356.86,0.0373,0.0968,0.1127,-0.2957,-0.1303,HM11,Industrials,4.0,"2020 Bulkers Ltd owns and operates large dry bulk vessels worldwide. The company operates six Newcastlemax dry bulk vessels. 2020 Bulkers Ltd was incorporated in 2017 and is based in Hamilton, Bermuda.",Hamilton,Bermuda,[],http://www.2020bulkers.com,1.0,S.E. Pearman Building,Marine Shipping,59.0,59.0,55.093525,0.0027966104,2.2674,,61.2,,8992.0,,59.0,54.99411800000001,0.165,59.0,,8992.0,,,,1.86,1581552000.0,1.07216,,,59.0,2.0,NOK,38726.0,,,,1356859136.0,,,29381.0,80.28752,59.0,61.2,,,38726.0,93.8,,,,39.0,60.6,False,0.0326,,61.2,OSL,2020 BULKERS LTD,2020 Bulkers Ltd,Europe/Oslo,CEST,False,7200000.0,EQUITY,2020.OL,finmb_544117951,no_market,,88.171,,0.07692,,-0.23989862,,,,22170900.0,,,6.184,,,,1577750400.0,0.19871001,1300000.0,0.061,,0.16781020000000002,9.896507000000001,0.57717997,1640908800.0,1585612800.0,,,9024667.0,1490083456.0,,,,,,,,,,,,,,https://logo.clearbit.com/2020bulkers.com,441 542 9329,2nd Floor 9 Par-la-Ville Road,1003.2787,,,,,
FIVEPG,5th Planet Games,Communication services,1.76,1.76,1.78,347,LP,187.12,-0.043,-0.0941,0.2448,5.0938,2.0552,1123,Communication Services,16.0,"5th Planet Games A/S, a games development company, creates, develops, and publishes mobile and web-based games worldwide. It offers a portfolio of games across a range of platforms, including iOS, Android, Facebook, and Web through platform distribution partners. The company was formerly known as Hugo Games A/S and changed its name to 5th Planet Games A/S in November 2018. 5th Planet Games A/S was founded in 2011 and is based in Copenhagen, Denmark.",Copenhagen,Denmark,[],http://www.5thplanetgames.com,1.0,Gothersgade 11,Electronic Gaming & Multimedia,1.86,1.86,1.2631686000000002,,0.0,,1.89,,4444304.0,,1.86,1.7345606,,1.86,,4444304.0,,,,,,2.714866,,,1.76,4.0,NOK,1439966.0,,,,189246032.0,,,4621280.0,,1.76,1.795,,0.0,1439966.0,3.8,,,,0.25,1.76,False,,0.0,1.89,OSL,5TH PLANET GAMES,5th Planet Games A/S,Europe/Oslo,CEST,False,7200000.0,EQUITY,FIVEPG.OL,finmb_301559974,no_market,,,,0.0,,1.7042253,,,,106318000.0,,,0.174,,,,1577750400.0,0.0,,-0.11800000000000001,,0.16781020000000002,10.229885000000001,0.50402,1640908800.0,1577750400.0,,,46798691.0,103173136.0,,1511913600.0,1:5,,,,,,,,,,,https://logo.clearbit.com/5thplanetgames.com,,,,,,,,
AASB-ME,Aasen Sparebank,Equity certificates,114.0,112.0,117.0,0,LP,115.59,,,,-0.0514,0.07339999999999999,7630,Financial Services,,"Aasen Sparebank provides various banking products and services in Norway. The company offers payment, billing, credit, overdraft, leasing, bank guarantee, and internet and mobile banking services; operating, tax deduction, client, and deposit accounts; and pension and retirement products, as well as bank cards. It also provides construction, corporate, car, mortgage, and small loans, as well as loans for other vehicles; and refinancing services. In addition, the company offers employee and business liability, health, personal, occupational injury, travel, collective accident, shop, property, office, landlord, craft, and commercial insurance products; farmer's accident, farm building agriculture, farmer's car, poultry, horse, pet, home agriculture, operating tools and crops, and agricultural machinery insurance products, as well as insurance for goods during transport, ATV / quad bikes, taxis, commercial vehicles, and trailers. Aasen Sparebank was founded in 1862 and is based in Ãsen, Norway.",Ãsen,Norway,[],http://aasen-sparebank.no,1.0,Stasjonsvegen 1,Banks—Regional,114.0,114.0,119.89928400000001,0.07017544,1.0156,,114.0,,2.0,,114.0,113.08823400000001,8.0,114.0,,2.0,,,,8.0,1583798400.0,0.40223000000000003,,,114.0,2.0,NOK,0.0,,,,115585744.0,,,37.0,1.1200169,114.0,116.0,,,0.0,153.0,,,,105.0,112.0,False,0.070199996,,114.0,OSL,AASEN SPAREBANK,Aasen Sparebank,Europe/Oslo,CEST,False,7200000.0,EQUITY,AASB-ME.OL,finmb_32425209,no_market,,7.072,,0.36725,,0.008849501999999999,,,,1013910.0,,,485.69199999999995,,,,1577750400.0,0.0,37900000.0,37.38,,0.16781020000000002,0.23471665,0.0,1640908800.0,1585612800.0,,,553343.0,729858112.0,,,,,,-0.32799999999999996,,,,,,,,https://logo.clearbit.com/aasen-sparebank.no,47 74 08 63 00,,3.0497591,47 74 08 63 01,,,,
ASC,ABG Sundal Collier Holding,Financials,4.53,4.51,4.53,20,,1995.43,-0.0066,0.0238,0.0169,0.2026,0.4841,0250,Financial Services,275.0,"ABG Sundal Collier Holding ASA, together with its subsidiaries, provides investment banking, stock broking, and corporate advisory services in Norway, Sweden, Denmark, and internationally. It operates in two segments, Markets and Investment Banking. The Markets segment offers financial services, such as brokerage, trading and execution of equities, bonds, derivatives, structured products, and FX. The Investment Banking segment provides corporate advisory services, including ECM, DCM, mergers and acquisitions, and financial restructuring. The company also provides equity research, credit research, and corporate and strategic access services; and project finance services. ABG Sundal Collier Holding ASA was founded in 1984 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.abgsc.com,1.0,Munkedamsveien 45 East,Capital Markets,4.555,4.55,3.827518,0.048298575,0.8062,,4.55,,233593.0,,4.555,4.3391175,0.22,4.55,,233593.0,,,,0.22,1588118400.0,0.9587680000000001,,,4.5,4.0,NOK,18171.0,,,,1995430016.0,,,435275.0,1.4118443,4.5,4.525,,185000.0,18171.0,4.58,10.523256,,10.54,2.69,4.505,False,0.048299998,340000.0,4.55,OSL,ABG SUN COL HLDG,ABG Sundal Collier Holding ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ASC.OL,finmb_2972520,no_market,,1.1059999999999999,,0.17288,,0.41744554,,0.43,,440979008.0,,,1.493,,,,1577750400.0,0.19143,244343008.0,0.45899999999999996,,0.16781020000000002,3.0308104,0.18238,1640908800.0,1593475200.0,,,342568196.0,1562607488.0,,,,,,0.22899999999999998,,,,,,,,https://logo.clearbit.com/abgsc.com,47 22 01 60 00,7th floor,9.858388,,,,,
ADE,Adevinta,Communication services,154.0,153.9,154.0,965,,105468.36,0.0,-0.0381,0.54,0.4808,0.4894,0159,Communication Services,3564.0,"Adevinta ASA operates as an online classifieds company worldwide. The company operates in four segments: France, Spain, Brazil, and Global Markets. It owns and operates 36 online classified marketplaces in generalist, real estate, cars, jobs, and other categories across a range of Websites and mobile applications in 16 countries. The company was formerly known as Marketplaces International ASA and changed its name to Adevinta ASA in February 2019. The company was founded in 2018 and is based in Oslo, Norway. Adevinta ASA operates as a subsidiary of Schibsted ASA.",Oslo,Norway,[],http://www.adevinta.com,1.0,Grensen 5,Internet Content & Information,154.0,155.0,105.41259,,0.0,,156.7,,653263.0,,154.0,125.34853000000001,,155.0,,653263.0,,,,,,,,,153.8,2.0,NOK,220758.0,,,,105468444672.0,,,430859.0,,153.8,154.2,,,220758.0,168.2,,,,66.7,153.9,False,,,156.7,OSL,ADEVINTA ASA,Adevinta ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADE.OL,finmb_599544498,no_market,,,,-0.02301,,0.5029355,,,,684860032.0,,,,,,,1577750400.0,0.20231001,,,,0.16781020000000002,,0.66005,1640908800.0,1593475200.0,,,227972750.0,100608000000.0,,,,,,,,,,,,,,https://logo.clearbit.com/adevinta.com,47 23 10 66 00,,,,,,,
ADSC-ME,ADS Crude Carriers,Energy,18.0,17.95,18.0,19,,421.03,0.0,-0.011,-0.0374,-0.2602,0.0859,4532,Industrials,,"ADS Crude Carriers Plc owns, charters, and operates tanker vessels worldwide. It owns and operates a fleet of three very large crude carriers, including ADS Page, ADS Stratus, and ADS Serenade. The company was founded in 2018 and is based in Limassol, Cyprus.",Limassol,Cyprus,[],http://www.adscrude.com,1.0,OSM House,Marine Shipping,18.0,18.05,21.916187,,0.4088,,18.05,,60772.0,,18.0,18.627941,,18.05,,60772.0,,,,4.21,1591228800.0,,,,17.95,2.0,NOK,9686.0,,,,421025408.0,,,79248.0,,17.95,18.0,,,9686.0,33.4,,,,16.1,17.95,False,0.2313,,18.05,OSL,ADS CRUDE CARRIERS,ADS Crude Carriers Plc,Europe/Oslo,CEST,False,7200000.0,EQUITY,ADSC-ME.OL,finmb_574633826,no_market,,,,0.0,,-0.044973552,,,,23390300.0,,,,,,,,0.09734,,,,0.16781020000000002,,0.0,,,,,,,,,,,,,,,,,,,,https://logo.clearbit.com/adscrude.com,357 2 5335501,22 Amathountos Agios Tychonas,,,,,,
AEGA,Aega,Utilities,1.37,1.28,1.36,12,,65.83,0.0301,0.0379,0.15130000000000002,0.181,0.0782,274,Utilities,2.0,"Aega ASA, a solar utility company, acquires, invests in, and operates solar power plants. The company was formerly known as Nordic Financials ASA and changed its name to Aega ASA in January 2016. Aega ASA was founded in 2011 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.aega.no,1.0,Thunes vei 2,Utilities—Renewable,1.33,1.3,1.2353957,0.0030075188,,,1.37,,32174.0,,1.33,1.2464706,0.004,1.3,,32174.0,,,,0.04,1591142400.0,-0.700348,,,1.28,4.0,NOK,32954.0,,,,65829596.0,,,51161.0,,1.28,1.36,,394100.0,32954.0,1.85,,,,1.05,1.28,False,0.030299998999999998,60000.0,1.37,OSL,AEGA ASA,Aega ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AEGA.OL,finmb_140002839,no_market,,,,0.0,,-0.08333331,,,,48050800.0,,,0.165,,,,1577750400.0,0.0,,-0.057999999999999996,,0.16781020000000002,8.30303,0.46798,1640908800.0,1585612800.0,,,24350240.0,63907608.0,,,,,,,,,,,,,,https://logo.clearbit.com/aega.no,,,,,,,,
AFG,AF Gruppen,Industrials,174.6,174.0,174.8,20,,18334.57,-0.0023,-0.0023,-0.0322,0.0289,0.1442,0663,Industrials,5526.0,"AF Gruppen ASA, a contracting and industrial company, engages in civil engineering, environment, building, property, energy, and offshore businesses primarily in Norway and Sweden. The company's Civil Engineering business area undertakes civil engineering and niche projects related to roads and railways, port facilities, airports, tunnels, foundation work, power, and energy, as well as onshore facilities for oil and gas. Its Energy and Environment business area provides smart and energy efficient services for buildings and industry; demolition services; and receiving, treating, and recycling of materials. The company's Building business area develops, engineers, and builds commercial, residential, and public buildings, as well as rehabilitation projects. Its Property business area develops residential units and commercial buildings. The Sweden business area engages in building, civil engineering, property, and environmental activities in Sweden. The company's offshore business area undertakes the removal, demolition, and recycling of offshore installations; and new building, modification, and maintenance works related to cranes, modules, and rig services, as well as heating, ventilation, air conditioning, and cooling systems. It also provides services related to the maintenance and modification of onshore facilities for the oil and gas industry. AF Gruppen ASA was founded in 1985 and is headquartered in Oslo, Norway.",Oslo,Norway,[],http://www.afgruppen.com,1.0,Innspurten 15,Engineering & Construction,175.0,175.0,167.39784,0.054285713,1.0266,,175.0,,7914.0,,175.0,177.35294,9.5,175.0,,7914.0,,,,12.0,1589760000.0,0.43902399999999997,,,174.2,2.0,NOK,791.0,,,,18334572544.0,,,18724.0,0.76527977,174.2,174.8,,178000.0,791.0,185.0,20.810488,,5.43,124.5,174.0,False,0.0686,52100.0,175.0,OSL,AF GRUPPEN,AF Gruppen ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AFG.OL,finmb_6174594,no_market,,0.8029999999999999,,0.03506,14.767999999999999,0.08944094,,8.39,,105009000.0,,,22.213,,,,1577750400.0,0.14407,840000000.0,8.257,,0.16781020000000002,7.860262400000001,0.60915,1640908800.0,1585612800.0,,,40215335.0,19228493824.0,,1263772800.0,5:1,,,-0.1,,,,,,,,https://logo.clearbit.com/afgruppen.com,47 22 89 11 00,,21.145695,,,,,
AKA,Akastor,Energy,6.23,6.21,6.27,203,,1692.13,-0.047400000000000005,0.0577,0.1981,-0.3732,-0.4336,1366,Energy,2112.0,"Akastor ASA operates as an oil-services investment company worldwide. The company offers drilling equipment, drilling riser solutions, and related products and services for the drilling market; and vessel-based subsea well construction and intervention services to the oil and gas industry. It is also involved in waste management drilling activities; the provision of subsurface advice and products to E&P companies; and supplying vapor recovery units and systems. Akastor ASA was founded in 1841 and is based in BÃ¦rum, Norway.",BÃ¦rum,Norway,[],http://akastor.com,1.0,Building B,Oil & Gas Equipment & Services,6.54,6.63,5.581007,,0.0,,6.63,,420121.0,,6.54,5.446029,,6.63,,420121.0,,,,,1397174400.0,1.36353,,,6.1,2.0,NOK,336262.0,,,,1692130176.0,,,488125.0,0.29880455,6.1,6.23,,52200.0,336262.0,12.4,15.575,,,3.52,6.21,False,,227000.0,6.63,OSL,AKASTOR ASA,Akastor ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKA.OL,finmb_874402,no_market,,0.7170000000000001,,-0.0498,13.065,-0.3641851,,0.4,,271609984.0,,,14.855,,,,1577750400.0,0.25563,-152000000.0,-0.981,,0.16781020000000002,0.41938743,0.51141,1640908800.0,1593475200.0,,,136612714.0,4063142912.0,,1175212800.0,5:1,,,,,,,,,,,https://logo.clearbit.com/akastor.com,47 21 52 58 00,OksenÃ¸yveien 10 Lysaker,,,,,,
AKER,Aker,Financials,414.8,414.4,415.2,503,,30808.34,-0.0147,0.0222,0.14300000000000002,-0.2135,-0.0132,1366,Energy,21865.0,"Aker ASA, an industrial investment company, operates in the oil and gas, maritime assets, and marine biotechnology sectors primarily in Norway and internationally. It operates through two segments, Industrial Holdings and Financial Investments. The company provides services, technologies, and product solutions for the oil and gas industry; provides engineering, procurement, and construction services for the offshore oil and gas, as well as renewable industries; and explores for and produces oil and gas on the Norwegian continental shelf. It also develops, manufactures, markets, and sells krill-based ingredients to the consumer health, aquaculture, and animal nutrition markets; and owns and charters vessels. The company was founded in 1841 and is headquartered in Lysaker, Norway. Aker ASA is a subsidiary of TRG Holding AS.",Lysaker,Norway,[],http://www.akerasa.com,1.0,OksenOeyveien 10,Oil & Gas Equipment & Services,421.2,421.6,346.95468,0.027896486,0.0,,423.6,,118510.0,,421.2,381.19412,11.75,421.6,,118510.0,,,,11.75,1595289600.0,1.71777,,,412.8,2.0,NOK,37729.0,,,,30808356864.0,,,197551.0,0.6540081,412.8,415.6,,111700.0,37729.0,566.0,15.801905,,,182.2,414.8,False,0.0279,108400.0,423.6,OSL,AKER ASA,Aker ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKER.OL,finmb_12074458,no_market,,1.9140000000000001,,-0.08871,35.282,0.03148055,,26.25,,74272800.0,,,251.43200000000002,,,,1577750400.0,0.19775999,-4124000000.0,-56.266000000000005,,0.16781020000000002,1.6497501,0.70268,1640908800.0,1593475200.0,,,67696448.0,90180476928.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerasa.com,47 24 13 00 00,,,47 24 13 01 01,,,,
AKBM-ME,Aker BioMarine,Consumer staples,95.44,95.2,95.44,85,,8359.22,-0.005699999999999999,0.0634,-0.1324,,,1327,Healthcare,,"Aker BioMarine AS, a biotechnology company, develops krill-derived ingredients and products for nutraceutical, aquaculture, and animal feed applications. The company provides krill oil products, including omega-3s, phospholipids, choline, and astaxanthin for the human market under the Superba brand. It also offers Qrill aqua product for aquaculture; and QRILL pet, a functional ingredient for pet food. The company is headquartered in Lysaker, Norway. Aker BioMarine ASA is a subsidiary of Aker ASA.",Lysaker,Norway,[],http://www.akerbiomarine.com,1.0,OksenOeyveien 10,Drug Manufacturers—Specialty & Generic,95.99,96.1,96.49,,,,96.5,,125235.0,,95.99,96.49,,96.1,,125235.0,,,,,,,,,95.0,2.0,NOK,12887.0,,,,,,,170012.0,,95.0,95.44,,,12887.0,114.0,,,,87.0,95.2,False,,,96.5,OSL,AKER BIOMARINE AS,Aker BioMarine AS,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKBM-ME.OL,finmb_884321,no_market,,42.677,,-0.00658,200.67,-0.08309454,,,,,,,2.589,,,,1546214400.0,,-1022000.0,-0.015,,0.16781020000000002,36.863655,,1609372800.0,1514678400.0,,,14611039.0,6629140480.0,,,,,,,,,,,,,,https://logo.clearbit.com/akerbiomarine.com,47 24 13 00 00,PO Box 496,,,,,,
AKERBP,Aker BP,Energy,179.65,179.6,179.7,1804,,64604.57,-0.0263,-0.0011,-0.0267,-0.34840000000000004,-0.193,1366,Energy,1703.0,"Aker BP ASA engages in the exploration, development, and production of oil and gas on the Norwegian Continental Shelf. The company has working interests in 42 fields/projects. As of December 31, 2019, its total net proven reserves were 666 million barrels of oil equivalents; and estimated total net proven plus probable reserves were 906 million barrels of oil equivalents. The company was formerly known as Det norske oljeselskap ASA and changed its name to Aker BP ASA in October 2016. Aker BP ASA was founded in 2001 and is headquartered in Fornebu, Norway.",Fornebu,Norway,[],http://www.akerbp.com,1.0,Building B,Oil & Gas E&P,184.55,184.55,181.24963,0.009905174000000001,,,184.55,,725371.0,,184.55,181.725,1.828,184.55,,725371.0,,,,7.41,1596153600.0,1.6643430000000001,,,179.1,2.0,NOK,372992.0,,,,64586678272.0,,,1398979.0,21.08095,179.1,179.7,,,372992.0,297.9,,,,89.42,179.65,False,0.04,,184.55,OSL,AKER BP ASA,Aker BP ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKERBP.OL,finmb_9048461,no_market,,22.923000000000002,,-0.031630002000000004,32.053000000000004,-0.17462087,,,,359614016.0,,,5.317,,,,1577750400.0,0.16023001,-96917000.0,-0.26899999999999996,,0.16781020000000002,33.77845,0.70299006,1640908800.0,1593475200.0,,,106384610.0,70230228992.0,,1261526400.0,1:1,,,1.715,,,,,,,,https://logo.clearbit.com/akerbp.com,47 51 35 30 00,Fornebuporten OksenOeyveien 10 Lysaker,,,,,,
AKSO,Aker Solutions,Energy,18.22,18.21,18.23,2645,,4954.8,-0.0456,0.0306,0.9783,-0.2633,-0.3121,1366,Energy,13000.0,"Aker Solutions ASA provides products, systems, and services to the oil and gas industry worldwide. The company operates through Projects and Services segments. It offers field planning, feasibility, and concept studies; floater designs; digital solutions; offshore wind solutions; and deep water risers. The company also provides engineering, project management, and procurement services, such as design of offshore oil and gas production facilities, and onshore receiving and processing facilities; jacket designs; subsea production systems; subsea trees; and control systems. In addition, it offers subsea wellheads engineering, manufacturing, installation, and life-of-field support services, including umbilical systems, subsea structures, tie-in systems, subsea compression and pump systems, subsea power distribution and processing systems, and intervention and workover systems; lifecycle, hook-up and completion, maintenance, modification, asset integrity management, and yards and fabrication services, as well as carbon capture, utilization, and storage services. Aker Solutions ASA was founded in 1841 and is headquartered in Fornebu, Norway.",Fornebu,Norway,[],http://akersolutions.com,1.0,OksenÃ¸yveien 8,Oil & Gas Equipment & Services,19.08,19.15,10.07365,0.07599581,0.0,,19.25,,6688558.0,,19.08,12.709429,1.45,19.15,,6688558.0,,,,,1428624000.0,2.095818,,,18.13,2.0,NOK,3878130.0,,,,4952081920.0,,,5640205.0,0.1879134,18.13,18.23,,58500.0,3878130.0,30.2,7.8154506999999995,,,4.362,18.21,False,,156700.0,19.25,OSL,AKER SOLUTIONS ASA,Aker Solutions ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKSO.OL,finmb_262890984,no_market,,0.495,,-0.03779,20.561,-0.25502813,,2.33,,271943008.0,,,24.02,,,,1577750400.0,0.26966998,-996000000.0,-3.667,,0.16781020000000002,0.75811815,0.46942002,1640908800.0,1593475200.0,,,130227946.0,13035667456.0,,1175212800.0,1:5,,,,,,,,,,,https://logo.clearbit.com/akersolutions.com,47 67 51 30 00,,,47 67 82 69 50,,,,
AKVA,AKVA Group,Industrials,62.4,62.2,63.4,14,LP,2065.84,-0.0095,0.006500000000000001,-0.0032,-0.1449,-0.1524,4353,Industrials,1444.0,"AKVA Group ASA develops, designs, manufactures, assembles, sells, and installs technology products; and provides rental and consulting services for the aquaculture industry. The company operates through three segments: Cage Based Technology, Software, and Land Based Technology. The Cage Based Technology segment offers plastic cages, steel cages, feed barges, feed systems, sensor and camera systems, biomass estimation systems, underwater lights, net cleaning systems, and nets and mooring systems under the Polarcirkel, Wavemaster, and Akvasmart hardware brands. This segment also supplies polyethylene work boats, pipes, ROV's, and subsea solutions to aquaculture, oil service, and maritime industries. The Software segment provides production control, planning, traceability, and ERP software for the aquaculture and fishing industries under the Fishtalk brand. This segment also operates AKVAconnect, a process control platform that enables real-time control of various mission critical equipment, such as feeding systems, environmental sensors, barges, and cameras installed on-site at the farmer's locations. The Land Based Technology segment designs and delivers recirculation systems for land based fish farming, as well as provides water quality conditions for fresh and seawater operations. The company also offers PRISMA, a cloud-based data platform for the aquaculture eco-system. AKVA group ASA operates in Norway, Chile, Canada, Scotland, Denmark, and internationally. The company is based in Klepp Stasjon, Norway. AKVA Group ASA is a subsidiary of Egersund Group AS.",Klepp Stasjon,Norway,[],http://www.akvagroup.com,1.0,Plogfabrikkvegen 11,Farm & Heavy Construction Machinery,63.0,64.2,60.700718,0.031746034,,,64.2,,3161.0,,63.0,62.288235,2.0,64.2,,3161.0,,,,2.0,1582502400.0,0.6550520000000001,,,62.4,2.0,NOK,5172.0,,,,2068959360.0,,,5656.0,0.6949880999999999,62.4,62.4,,49600.0,5172.0,83.0,10.890053,,,41.3,62.2,False,0.0324,34200.0,64.2,OSL,AKVA GROUP ASA,AKVA Group ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AKVA.OL,finmb_162314,no_market,,1.107,,-0.00014,25.432,-0.18897635,,5.73,,33156400.0,,,31.171,,,,1577750400.0,0.13203,-422000.0,-0.013999999999999999,,0.16781020000000002,2.0018609,0.7511,1640908800.0,1585612800.0,,,8065299.0,3294914560.0,,,,,,-0.41700000000000004,,,,,,,,https://logo.clearbit.com/akvagroup.com,47 51 77 85 00,,,,,,,
AMSC,American Shipping Company,Industrials,29.55,29.55,29.65,28,,1791.22,0.0137,0.046,0.0765,-0.0483,-0.0472,1366,Industrials,3.0,"American Shipping Company ASA, through its subsidiaries, operates as a ship owning and lease finance company in the United States. It is involved in the purchase and bareboat chartering of product tankers, shuttle tankers, and other vessels to operators and end users in the Jones Act market. The company operates a fleet of nine product tankers and one shuttle tanker. The company was formerly known as Aker American Shipping ASA and changed its name to American Shipping Company ASA in June 2008. American Shipping Company ASA was founded in 2005 and is headquartered in Lysaker, Norway.",Lysaker,Norway,[],http://www.americanshippingco.com,1.0,Building B,Marine Shipping,29.15,29.85,25.83367,0.010977701000000001,1.9914999,,29.85,,36816.0,,29.15,27.032352000000003,0.32,29.85,,36816.0,,,,3.21,1590451200.0,0.957026,,,29.45,2.0,NOK,8707.0,,,,1791217536.0,,,75362.0,20.330717,29.45,29.65,,114600.0,8707.0,37.5,79.86486,,11.42,15.06,29.55,False,0.11,172600.0,29.85,OSL,AMER SHIPPING COMP,American Shipping Company ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,AMSC.OL,finmb_22594564,no_market,,25.961,,0.10217000000000001,26.916,-0.111607075,,0.37,,60616500.0,,,2.6689999999999996,,,,1577750400.0,0.19708,9002000.0,0.149,,0.16781020000000002,11.071563000000001,0.28123000000000004,1640908800.0,1585612800.0,,,44026980.0,2287271168.0,,,,,,0.778,,,,,,,,https://logo.clearbit.com/americanshippingco.com,,OksenOeyveien 10,198.32214,,,,,
ANDF-ME,Andfjord Salmon,Consumer staples,55.0,54.74,55.89,17,,1853.54,0.0053,-0.0036,0.0476,,,8400,Consumer Defensive,,"Andfjord Salmon AS operates a fish farm. It operates a closed sea facility for organic salmon farming. The company was founded in 2014 and is headquartered in Sortland, Norway.",Sortland,Norway,[],http://www.andfjordsalmon.com,1.0,Havnegata 19,Farm Products,54.71,54.71,54.91028000000001,,0.0,,56.0,,14174.0,,54.71,54.645588000000004,,54.71,,14174.0,,,,,,,,,54.7,2.0,NOK,3447.0,,,,,,,48695.0,,54.7,55.89,,,3447.0,65.0,,,,46.5,54.74,False,,,56.0,OSL,ANDFJORD SALMON AS,Andfjord Salmon AS,Europe/Oslo,CEST,False,7200000.0,EQUITY,ANDF-ME.OL,finmb_570862527,no_market,,996.097,,0.0,-204.745,-0.07106596,,,,,,,4.914,,,,1577750400.0,,-6394534.0,-0.214,,0.16781020000000002,11.192511999999999,,1640908800.0,,,,,1640104576.0,,,,,,,,,,,,,,https://logo.clearbit.com/andfjordsalmon.com,,8402 Sortland,,,,,,
ABT,Aqua Bio Technology,Materials,4.44,4.5,4.56,20,LP,68.18,-0.0263,-0.0902,-0.1208,0.8974,0.9304,1366,Healthcare,,"Aqua Bio Technology ASA engages in developing and commercializing active ingredients for use in skin care products in Norway. It offers Aquabeautine XL, a proprietary ingredient; and Spirulysat, an antioxidant for cosmetic use. The company also markets and distributes natural and skin care products to consumers, retailers, and professionals in Europe and the Middle East. It distributes its products through Internet, stores, and skin care clinics. The company markets and distributes organic skin care products under the Moana brand name in New Zealand and arctic skin care products under the Cuvget brand name in Norway. Aqua Bio Technology ASA was founded in 2000 and is based in Lysaker, Norway.",Lysaker,Norway,[],http://www.aquabiotechnology.com,1.0,Fornebuveien 37,Biotechnology,4.56,4.5,3.1911511000000004,0.21929824,0.0,,4.56,,34118.0,,4.56,4.6941175,1.0,4.5,,34118.0,,,,,1496880000.0,1.2967469999999999,,,4.2,4.0,NOK,14825.0,,,,68177976.0,,,155560.0,52.639362,4.2,4.56,,320000.0,14825.0,7.55,-8.222222,,,1.25,4.5,False,,330000.0,4.56,OSL,AQUA BIO TECHNOLOG,Aqua Bio Technology ASA,Europe/Oslo,CEST,False,7200000.0,EQUITY,ABT.OL,finmb_39453852,no_market,,48.753,,0.0,-4.856,1.1203701000000001,,-0.54,,15355400.0,,,0.47700000000000004,,,,1577750400.0,0.02359,-13215518.0,-1.03,,0.16781020000000002,9.308176,0.80484,1640908800.0,1577750400.0,,,1905450.0,63144928.0,,1309132800.0,1:20,,,,,,,,,,,https://logo.clearbit.com/aquabiotechnology.com,,,,,,,,
