ticker,name,sector,last_,buy,sell,tradecount,info,marketcap,profit_today,profit_1wk,profit_1month,profit_ytd,profit_1yr
2020,2020 Bulkers,Industrials,78.0,77.4,78.0,38,,1729.33,0.0263,-0.037000000000000005,-0.0674,-0.1058,
FIVEPG,5th Planet Games,Communication services,0.4,0.38,0.4,66,LP,21.49,0.0127,0.1494,0.1494,0.084,-0.7241
AASB-ME,Aasen Sparebank,Equity certificates,134.0,130.0,135.0,2,LP,135.86,,,0.0388,0.0388,0.2622
ASC,ABG Sundal Collier Holding,Financials,4.11,4.11,4.12,47,,1876.91,0.0012,-0.0072,0.034,0.0301,-0.026699999999999998
ADE,Adevinta,Communication services,109.0,108.8,109.0,505,,74659.39,0.009300000000000001,0.0111,0.0583,0.0481,
ADSC-ME,ADS Crude Carriers,Energy,28.0,27.8,28.0,56,,654.93,0.014499999999999999,-0.0667,0.014499999999999999,-0.0278,0.4375
AEGA,Aega,Utilities,1.16,1.11,1.2,8,,55.74,0.035699999999999996,-0.0169,0.0545,-0.0333,0.2618
AFG,AF Gruppen,Industrials,176.0,175.5,176.0,84,,18135.39,0.0,0.0144,0.005699999999999999,0.0,0.3467
AKA,Akastor,Energy,9.19,9.16,9.19,70,,2496.09,0.0155,-0.0182,-0.0108,-0.0755,-0.2876
AKER,Aker,Financials,531.5,531.5,532.0,969,,39473.70,0.0028000000000000004,-0.055099999999999996,-0.006500000000000001,-0.022099999999999998,-0.0526
AKERBP,Aker BP,Energy,280.0,280.0,280.1,3204,,100831.78,0.009000000000000001,-0.044000000000000004,-0.0278,-0.0278,0.0934
AKSO,Aker Solutions,Energy,20.9,20.9,20.91,1383,,5683.60,0.018500000000000003,-0.053399999999999996,-0.1292,-0.1545,-0.5476
AKVA,AKVA Group,Industrials,74.0,73.6,74.0,6,LP,2449.88,0.008199999999999999,-0.013300000000000001,-0.008,0.0,0.1275
AMSC,American Shipping Company,Industrials,32.2,32.2,32.3,76,,1951.85,0.009399999999999999,-0.0183,-0.022799999999999997,-0.019799999999999998,0.055999999999999994
ABT,Aqua Bio Technology,Materials,2.74,2.66,2.76,7,LP,42.07,0.0,-0.0616,0.1417,0.1709,-0.021400000000000002
AQUA,AqualisBraemar,Energy,4.49,4.23,4.49,5,,315.72,0.020499999999999997,0.044199999999999996,0.2168,0.1542,0.044199999999999996
ARCHER,Archer,Energy,3.12,3.06,3.12,62,,461.56,0.023,-0.0311,0.0331,-0.0189,-0.3858
ARCUS,Arcus,Consumer staples,36.5,36.2,36.5,47,,2474.72,0.0027,0.0,0.0139,0.0,-0.0608
AFK,Arendals Fossekompani,Industrials,2650.0,2640.0,2650.0,7,,5801.96,0.0038,0.0,-0.011200000000000002,0.0076,-0.2237
ASETEK,Asetek,Information technology,30.45,30.3,30.45,78,,753.85,0.015,0.0083,0.0518,-0.0177,-0.2902
ATEA,Atea,Information technology,126.8,126.6,126.8,418,,13910.03,0.0144,0.0032,-0.0231,-0.013999999999999999,0.1703
ATLA NOK,Atlantic Petroleum,Energy,8.55,7.4,8.3,3,,31.62,,,0.0059,0.0892,0.0
ASA-ME,Atlantic Sapphire,Consumer staples,138.0,137.5,138.0,109,,9836.10,0.0222,0.0824,0.0781,0.0698,0.5
AURG,Aurskog Sparebank,Equity certificates,200.0,197.0,200.0,2,LP,642.84,0.0,0.0,0.0582,0.0582,0.1986
AUSS,Austevoll Seafood,Consumer staples,94.05,94.05,94.2,811,,18981.55,0.0329,0.045,0.0279,0.0444,-0.1375
AVANCE,Avance Gas Holding,Energy,52.0,52.0,52.3,1372,,3310.13,0.0,0.0019,0.0236,0.04,2.7901
AVM,Avocet Mining PLC,Materials,1.56,,,0,,32.51,,,,,
AWDR,Awilco Drilling,Energy,13.75,13.4,13.75,14,,750.50,0.011000000000000001,-0.0036,-0.0385,-0.11289999999999999,-0.5259
ALNG,Awilco LNG,Energy,2.43,2.43,2.49,20,,322.09,-0.027999999999999997,-0.0933,-0.2186,-0.24059999999999998,-0.45270000000000005
